Launched,Launched_Capped,Provider_Alibaba Cloud,Provider_Amazon Web Services,Provider_Atlantic.Net,Provider_DigitalOcean,Provider_GoDaddy,Provider_Google Cloud Platform,Provider_Hetzner Cloud,Provider_IBM Cloud,Provider_Microsoft Azure,Provider_OVH,Provider_Oracle Cloud Infrastructure,Provider_Rackspace,Provider_Safe Swiss Cloud,Provider_Scaleway,Block storage_No,Block storage_Partial,Block storage_Yes,Assignable IPs_No,Assignable IPs_Yes,Assignable IPs_Yes[17],Assignable IPs_Yes[22],SMTP support_No[1],SMTP support_No[9],SMTP support_Partial,SMTP support_Partial[6],SMTP support_Yes,SMTP support_Yes[11],SMTP support_Yes[18],SMTP support_Yes[23],IOPS Guaranteed minimum_No,IOPS Guaranteed minimum_Yes,Security_Yes[10],Security_Yes[12],Security_Yes[14],Security_Yes[15],Security_Yes[19],Security_Yes[21],Security_Yes[24],Security_Yes[25],Security_Yes[26],Security_Yes[28],Security_Yes[2],Security_Yes[30],Security_Yes[5],Security_Yes[7],"Locations_au, ca, de, fr, gb, pl, us, sg[20]","Locations_br, ca, cl, us, be, ch, de, es, fi, it, po, nl, uk, il, au, cn, in, jp, sg, id, tw[3]","Locations_ca, us, br, ie, nl, de, uk, cn, au, jp, in, kr, sg, hk, za, id",Locations_ch,"Locations_cn, hk, sg, au, my, id, in, jp, us, de, uk, ae","Locations_de, fi, us","Locations_fr, nl","Locations_sg, nl, uk, ca, de, in","Locations_us, au, hk","Locations_us, ca, br, de, uk, nl, ch, in, aus, jp, kr, saud","Locations_us, ca, br, ie, de, uk, cn, sg, au, jp, kr, in, za, fr, se, bh, hk, it, id","Locations_us, gb, fr, de, nl, in, au, hk, kr, it, jp, no, sg","Locations_us, uk, ca",Notes_List of bugs[13],Notes_List of bugs[8],Notes_SMTP blocked.[4],Notes_SMTP for accounts older than 60 days[31] but they use spam mandrillapp servers.[32] root volume is a fixed size.,Notes_root volume is a fixed size
2013.0,0.8333333333333286,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2014.0,0.8888888888888857,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2010.0,0.6666666666666572,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2005.0,0.38888888888888573,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2010.0,0.6666666666666572,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016.0,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1998.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2010.090909090909,0.6717171717171624,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2010.0,0.6666666666666572,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
2016.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2009.0,0.6111111111111001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
